"nr","deso","area","pop","density"
"955","0180C5970",0.7,2071,2958.57142857143
"956","0180C5980",0.21,1909,9090.47619047619
"957","0180C5990",0.42,2203,5245.2380952381
"958","0180C6000",0.65,1927,2964.61538461538
"959","0180C6010",0.41,1736,4234.14634146341
"960","0180C6020",0.75,2375,3166.66666666667
"961","0180C6030",0.84,2105,2505.95238095238
"962","0180C6040",0.58,1941,3346.55172413793
"963","0180C6050",2.54,2106,829.133858267717
"964","0180C6060",0.72,2651,3681.94444444444
"965","0180C6070",0.26,2292,8815.38461538462
"966","0180C6080",0.72,1629,2262.5
"967","0180C6090",0.25,2371,9484
"968","0180C6100",0.07,1696,24228.5714285714
"969","0180C6110",0.15,1889,12593.3333333333
"970","0180C6120",0.1,1723,17230
"971","0180C6130",1.54,1898,1232.46753246753
"972","0180C6140",0.37,1832,4951.35135135135
"973","0180C6150",0.18,3335,18527.7777777778
"974","0180C6160",0.1,1753,17530
"975","0180C6170",0.16,2006,12537.5
"976","0180C6180",0.17,2178,12811.7647058824
"977","0180C6190",0.65,2145,3300
"978","0180C6200",0.65,1790,2753.84615384615
"979","0180C6210",0.27,2503,9270.37037037037
"980","0180C6220",0.21,2011,9576.19047619048
"981","0180C6230",0.12,2327,19391.6666666667
"982","0180C6240",0.37,2236,6043.24324324324
"983","0180C6250",0.22,1623,7377.27272727273
"984","0180C6260",0.11,2144,19490.9090909091
"985","0180C6270",0.13,1986,15276.9230769231
"986","0180C6280",0.16,1965,12281.25
"987","0180C6290",1.07,2223,2077.57009345794
"988","0180C6300",0.12,2070,17250
"989","0180C6310",1.14,1959,1718.42105263158
"990","0180C6320",0.13,2047,15746.1538461538
"991","0180C6330",1.48,1797,1214.18918918919
"992","0180C6340",2.41,1558,646.473029045643
"993","0180C6350",0.1,2137,21370
"994","0180C6360",0.17,1845,10852.9411764706
"995","0180C6370",0.11,1590,14454.5454545455
"996","0180C6380",0.13,2169,16684.6153846154
"997","0180C6390",0.76,2438,3207.89473684211
"998","0180C6400",0.19,2311,12163.1578947368
"999","0180C6410",0.26,1615,6211.53846153846
"1000","0180C6420",0.07,1965,28071.4285714286
"1001","0180C6430",0.08,2076,25950
"1002","0180C6440",3.98,2245,564.070351758794
"1003","0181A0010",102.96,1322,12.8399378399378
"1004","0181A0020",120.73,1846,15.2903172368094
"1005","0181A0030",125.83,2617,20.797901931177
"1006","0181A0040",4.42,1843,416.968325791855
"1007","0181A0050",15.32,1160,75.7180156657963
"1008","0181A0060",57.9,1607,27.7547495682211
"1009","0181B2010",5.3,2343,442.075471698113
"1010","0181B2020",5,1410,282
"1011","0181B2030",4.91,3174,646.435845213849
"1012","0181B2040",3.19,1486,465.830721003135
"1013","0181B4010",7.68,1781,231.901041666667
"1014","0181B5010",7.09,1205,169.957686882934
"1015","0181C1010",3.18,2258,710.062893081761
"1016","0181C1020",5.23,2238,427.91586998088
"1017","0181C1030",2.37,1875,791.139240506329
"1018","0181C1040",5.83,1785,306.174957118353
"1019","0181C1050",0.15,1883,12553.3333333333
"1020","0181C1060",0.4,1613,4032.5
"1021","0181C1070",0.44,1875,4261.36363636364
"1022","0181C1080",0.31,1799,5803.22580645161
"1023","0181C1090",0.63,2269,3601.5873015873
"1024","0181C1100",0.9,2393,2658.88888888889
"1025","0181C1110",0.35,1569,4482.85714285714
"1026","0181C1120",4.2,1535,365.47619047619
"1027","0181C1130",0.25,1800,7200
"1028","0181C1140",0.82,1773,2162.19512195122
"1029","0181C1150",0.5,2176,4352
"1030","0181C1160",0.65,3208,4935.38461538462
"1031","0181C1170",0.26,1600,6153.84615384615
"1032","0181C1180",0.45,2148,4773.33333333333
"1033","0181C1190",0.37,1689,4564.86486486487
"1034","0181C1200",0.75,1705,2273.33333333333
"1035","0181C1210",0.55,2055,3736.36363636364
"1036","0181C1220",0.68,2514,3697.05882352941
"1037","0181C1230",0.17,1002,5894.11764705882
"1038","0181C1240",0.21,2132,10152.380952381
"1039","0181C1250",0.77,1618,2101.2987012987
"1040","0181C1260",0.37,2122,5735.13513513513
"1041","0181C1270",0.5,2348,4696
"1042","0181C1280",0.7,3431,4901.42857142857
"1043","0181C1290",0.5,2267,4534
"1044","0181C1300",3.45,3287,952.753623188406
"1045","0181C1310",0.59,2735,4635.59322033898
"1046","0181C1320",0.14,2148,15342.8571428571
"1047","0181C1330",0.46,1398,3039.13043478261
"1048","0181C1340",0.69,1915,2775.36231884058
"1049","0181C1350",4.76,1657,348.109243697479
"1050","0181C1360",0.12,1726,14383.3333333333
"1051","0181C1370",9.32,2179,233.798283261803
"1052","0181C1380",3.79,2322,612.664907651715
"1053","0181C1390",7.86,2678,340.712468193384
"1054","0182C1010",0.73,2272,3112.32876712329
"1055","0182C1020",0.17,1703,10017.6470588235
"1056","0182C1030",1.61,3417,2122.3602484472
"1057","0182C1040",0.34,1744,5129.41176470588
"1058","0182C1050",3.56,1061,298.033707865169
"1059","0182C1060",0.89,1992,2238.20224719101
"1060","0182C1070",2.39,1736,726.359832635983
"1061","0182C1080",27.64,2030,73.4442836468886
"1062","0182C1090",1.18,1840,1559.32203389831
"1063","0182C1100",0.08,794,9925
"1064","0182C1110",2.14,2223,1038.78504672897
